Rank,Name,Symbol,Price,Market Cap,Volume(24 Hour),Ciruculating Supply,Main Link,Historical Link,GitHub Link,Tags
17,Wrapped Bitcoin,WBTC,26053.6,4243855522.84,76364182.11,162889,https://coinmarketcap.com/currencies/wrapped-bitcoin/,https://coinmarketcap.com/currencies/wrapped-bitcoin/historical-data/,https://github.com/WrappedBTC/bitcoin-token-smart-contracts,"['Medium of Exchange', 'DeFi', 'Wrapped Tokens']"
18,Bitcoin Cash,BCH,192.05,3742379987.32,139896933.21,19486281,https://coinmarketcap.com/currencies/bitcoin-cash/,https://coinmarketcap.com/currencies/bitcoin-cash/historical-data/,https://gitlab.com/bitcoin-cash-node/,"['Mineable', 'PoW', 'SHA-256']"
19,UNUS SED LEO,LEO,3.8364,3565997081.68,537932.26,929525858,https://coinmarketcap.com/currencies/unus-sed-leo/,https://coinmarketcap.com/currencies/unus-sed-leo/historical-data/,No GitHub Link,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']"
20,Avalanche,AVAX,10.05,3459082269.77,120285068.43,344083482,https://coinmarketcap.com/currencies/avalanche/,https://coinmarketcap.com/currencies/avalanche/historical-data/,https://github.com/ava-labs/avalanchego,"['DeFi', 'Smart Contracts', 'Three Arrows Capital Portfolio']"
21,Stellar,XLM,0.1239,3395969321.15,89277309.03,27417916736,https://coinmarketcap.com/currencies/stellar/,https://coinmarketcap.com/currencies/stellar/historical-data/,https://github.com/stellar/stellar-core,"['Medium of Exchange', 'Enterprise Solutions', 'Decentralized Exchange (DEX) Token']"
22,Chainlink,LINK,6.0074,3232593123.9,161052214.60,538099970,https://coinmarketcap.com/currencies/chainlink/,https://coinmarketcap.com/currencies/chainlink/historical-data/,https://github.com/smartcontractkit/chainlink,"['Platform', 'DeFi', 'Oracles']"
23,Binance USD,BUSD,1.0003,3153614715.61,1079878217.44,3152534685,https://coinmarketcap.com/currencies/binance-usd/,https://coinmarketcap.com/currencies/binance-usd/historical-data/,https://github.com/paxosglobal/busd-contract,"['Stablecoin', 'Asset-Backed Stablecoin', 'Binance Chain']"
24,TrueUSD,TUSD,0.9996,2906332785.19,1733339380.82,2907448856,https://coinmarketcap.com/currencies/trueusd/,https://coinmarketcap.com/currencies/trueusd/historical-data/,https://github.com/trusttoken/smart-contracts,"['Store Of Value', 'Stablecoin', 'Asset-Backed Stablecoin']"
25,Uniswap,UNI,4.5498,2627527906.85,87112537.96,577501031,https://coinmarketcap.com/currencies/uniswap/,https://coinmarketcap.com/currencies/uniswap/historical-data/,No GitHub Link,"['Decentralized Exchange (DEX) Token', 'DeFi', 'DAO']"
26,Monero,XMR,139.9,2563461708.97,62511771.52,18323142,https://coinmarketcap.com/currencies/monero/,https://coinmarketcap.com/currencies/monero/historical-data/,https://github.com/monero-project/monero,"['Mineable', 'PoW', 'Medium of Exchange']"
27,OKB,OKB,42.67,2560000113.73,1728990.68,60000000,https://coinmarketcap.com/currencies/okb/,https://coinmarketcap.com/currencies/okb/historical-data/,No GitHub Link,"['Marketplace', 'Centralized Exchange (CEX) Token', 'Discount Token']"
28,Cosmos,ATOM,7.2443,2510937180.9,87429486.09,346608690,https://coinmarketcap.com/currencies/cosmos/,https://coinmarketcap.com/currencies/cosmos/historical-data/,https://github.com/cosmos,"['Platform', 'Cosmos Ecosystem', 'Content Creation']"
29,Ethereum Classic,ETC,16.0,2282733161.55,75525218.61,142692668,https://coinmarketcap.com/currencies/ethereum-classic/,https://coinmarketcap.com/currencies/ethereum-classic/historical-data/,https://github.com/ethereumclassic/ethereumclassic.github.io,"['Mineable', 'PoW', 'Ethash']"
